book_id,book_label,book_order,unit_id,unit_label,unit_order,topic_id,topic_dir,source_file,theme,en,zh,emoji,question,answer,image,audio,speech_aliases,audio_alternates,source_image,source_audio
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","father","爸爸","👨","Who's he?","He's my father.","father.jpg","father.mp3","","","單字資料/SF3/L1/01_father圖.jpg","單字資料/SF3/L1/01_father圖.mp3|單字資料/SF3/L1/02_father字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","grandfather","祖父；爺爺","👴","Who's he?","He's my grandfather.","grandfather.jpg","grandfather.mp3","","","單字資料/SF3/L1/03_grandfather圖.jpg","單字資料/SF3/L1/03_grandfather圖.mp3|單字資料/SF3/L1/04_grandfather字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","grandmother","祖母；奶奶","👵","Who's she?","She's my grandmother.","grandmother.jpg","grandmother.mp3","","","單字資料/SF3/L1/05_grandmother圖.jpg","單字資料/SF3/L1/05_grandmother圖.mp3|單字資料/SF3/L1/06_grandmother字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","sister","姐姐；妹妹","👧","Who's she?","She's my sister.","sister.jpg","sister.mp3","","","單字資料/SF3/L1/07_sister圖.jpg","單字資料/SF3/L1/07_sister圖.mp3|單字資料/SF3/L1/08_sister字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","mother","媽媽","👩","Who's she?","She's my mother.","mother.jpg","mother.mp3","","","單字資料/SF3/L1/09_mother圖.jpg","單字資料/SF3/L1/09_mother圖.mp3|單字資料/SF3/L1/10_mother字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","brother","哥哥；弟弟","👦","Who's he?","He's my brother.","brother.jpg","brother.mp3","","","單字資料/SF3/L1/11_brother圖.jpg","單字資料/SF3/L1/11_brother圖.mp3|單字資料/SF3/L1/12_brother字.mp3"
"SF3","SF3",1,"L01","Lesson 1",1,"SF3 L01","sf3-l01","單字資料/SF3/Lesson 01.png","pink","who","誰","❓","Who's he?","Dad is my father.","who.jpg","","","","",""
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","teacher","老師","👩‍🏫","Is she a teacher?","Yes, she is. She's a teacher.","teacher.jpg","teacher.mp3","","","單字資料/SF3/L2/01_ateacher圖.jpg","單字資料/SF3/L2/01_ateacher圖.mp3|單字資料/SF3/L2/02_ateacher字.mp3"
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","student","學生","🧑‍🎓","Is he a student?","No, he isn't. He's a cook.","student.jpg","student.mp3","","","單字資料/SF3/L2/03_astudent圖.jpg","單字資料/SF3/L2/03_astudent圖.mp3|單字資料/SF3/L2/04_astudent字.mp3"
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","cook","廚師","🧑‍🍳","Is she a cook?","Yes, she is. She's a cook.","cook.jpg","cook.mp3","","","單字資料/SF3/L2/05_acook圖.jpg","單字資料/SF3/L2/05_acook圖.mp3|單字資料/SF3/L2/06_acook字.mp3"
