### TABLE 1 28x11
1	教材版本	何嘉仁 Super Fun 1	實施年級 (班級/組別)	三年級	教學節數	每週( 1 )節。
2	課程目標	能聽、說、讀、寫字母 Aa-Zz，並熟悉其發音與基本的字母拼讀規則。 能聽辨、唸讀生活用語及教室用語，連結生活情境，培養基本對話能力。 能聽辨、唸讀各單元的單字與句型，了解使用情境及語意，並應用於日常生活溝通。 能夠使用適當的英語學習策略，強化自主學習能力。 能夠與團隊合作，從雙向互動與討論的過程中，提升思辨與解決問題的能力。 能認識臺灣及其他國家的風俗文化，實現自我認同與尊重他人。
3	領域核心素養	 英-E-A1： 具備認真專注的特質及良好的學習習慣，嘗試運用基本的學習策略，強化個人英語文能力。  英-E-A2： 具備理解簡易英語文訊息的能力，能運用基本邏輯思考策略提升學習效能。  英-E-B1： 具備入門的聽、說、讀、寫英語文能力。在引導下，能運用所學、字詞及句型進行簡易日常溝通。  英-E-C2： 積極參與課內英語文小組學習活動，培養團隊合作精神。
4	議題融入	 閱讀素養教育： 閱 E1 認識字詞彙、閱 E7 發展詮釋文本能力、閱 E12 培養閱讀態度。  品德教育： 品 E3 溝通合作與和諧人際關係。  人權教育： 人 E5 欣賞、包容個別差異並尊重自己與他人的權利。  國際教育： 國 E1 了解我國與世界其他國家的文化特質。  性別平等教育： 性 E3 覺察性別角色的刻板印象（於 Topic 2 強化）。  交通安全教育： 交 E1 了解人、車、路的基本關係（於導學與校外活動週強化）。
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
7	教學進度 (週次)	教學單元名稱	學習表現	學習內容	學習目標	學習活動	評量方式	融入議題 內容重點
8	1	Phonics 1 Aa-Ff	1-Ⅱ-1, 2-Ⅱ-1, 4-Ⅱ-1	Aa-Ⅱ-1, Aa-Ⅱ-2	辨識書寫 Aa-Ff；聽辨字母發音及代表單字。	1.自我介紹與常規。 2.ABC Song 吟唱。 3.字母筆順示範與練習。	觀察、活動、紙筆	【閱讀】基礎字詞彙 【數位】字母影片
9	2	Phonics 2 Gg-Mm	1-Ⅱ-2, 2-Ⅱ-2, 3-Ⅱ-1	Aa-Ⅱ-1, Aa-Ⅱ-2	辨識書寫 Gg-Mm；聽辨共同發音。	1.字母接龍遊戲。 2.Look and Say 聽辨練習。 3.完成習作讀寫。	口語、紙筆、觀察	【品德】溝通合作精神
10	3	Topic 1 Story (1)	1-Ⅱ-9, 2-Ⅱ-5, 8-Ⅱ-1	Ac-Ⅱ-2, C-Ⅱ-1	聽懂招呼語情境；辨識故事角色個性。	1.人物特質分析。 2.Story Time 電子書朗讀與 Q&A。 3.單字地雷遊戲。	活動、口語、觀察	【交安】馬路招呼安全
11	4	Topic 1 Story (2)	2-Ⅱ-6, 4-Ⅱ-2, 7-Ⅱ-2	Ac-Ⅱ-2, B-Ⅱ-1	模擬正確語調對話；設計個人識別證。	1.分組角色扮演。 2.Read and Connect。 3.交換姓名介紹活動。	觀察、活動、紙筆	【性平】尊重性別特質
12	5	L1: What's Your Name?	1-Ⅱ-7, 1-Ⅱ-10, 2-Ⅱ-3	B-Ⅱ-1, Ac-Ⅱ-2	能詢問他人姓名；熟練名字相關單字。	1.主題單字閃示卡練習。 2.What's your name? 句型問答。	口語、活動、觀察	【閱讀】培養閱讀態度
13	6	L1: What's Your Name?	4-Ⅱ-2, 4-Ⅱ-4, 5-Ⅱ-3	Aa-Ⅱ-2, B-Ⅱ-1	掌握大寫書寫規則；臨摹抄寫正確句型。	1.分析人名大寫規則。 2.單字紙籤重組句子。 3.習作 L1 測驗。	紙筆、觀察、活動	【品德】建立人際互動
14	7	L2: How Old Are You?	1-Ⅱ-7, 1-Ⅱ-10, 2-Ⅱ-3	B-Ⅱ-1, Ac-Ⅱ-2	聽辨數字 1-10；正確詢問年齡。	1.數字拼讀與發音。 2.數字猜謎(Up/Down)。 3.年齡問答。	口語、活動、觀察	【交安】紅綠燈秒數意義
15	8	L2: How Old Are You?	4-Ⅱ-3, 5-Ⅱ-3, 6-Ⅱ-1	B-Ⅱ-1, N-3-2	應用數字於生活；計算物品年齡。	1.聽力選號練習。 2.歷史建築年齡計算(跨領域)。 3.L2 讀寫練習。	紙筆、觀察、活動	【性平】保護隱私資訊
16	9	Review 1	1-Ⅱ-4, 2-Ⅱ-6, 5-Ⅱ-2	Ac-Ⅱ-1, B-Ⅱ-1	整合姓名年齡複習；擷取短文資訊。	1.短文閱讀與分享。 2.製作隊員卡。 3.A New Friend 歌謠唱遊。	口語、活動、紙筆	【國際】不同文化招呼
17	10	Mid-term Review	1-Ⅱ-2, 3-Ⅱ-2, 7-Ⅱ-1	Aa-Ⅱ-1, B-Ⅱ-1	整合複習 T1 教材；提升複習策略。	1.故事搶答遊戲。 2.單字限時認讀。 3.期中習作 Review 檢測。	紙筆、口語、活動	【數位】數位互動測驗
18	11	Phonics 3 Nn-Ss	1-Ⅱ-1, 2-Ⅱ-1, 4-Ⅱ-1	Aa-Ⅱ-1, Aa-Ⅱ-2	能辨識書寫 Nn-Ss；聽辨首音與尾音發音差異。	1.字母筆順示範。2.發音即時反應遊戲。 3.Look and Say 聽辨練習。	活動、口語、紙筆	【閱讀】生活常用字彙 【數位】發音動畫
19	12	Phonics 4 Tt-Zz	1-Ⅱ-2, 5-Ⅱ-1, 6-Ⅱ-1	Aa-Ⅱ-1, Aa-Ⅱ-2	能辨識書寫 Tt-Zz；掌握基礎拼讀規則。	1.大小寫配對遊戲。 2.-up, cup 拼讀練習。 3.Phonics 總結聽寫評量。	紙筆、活動、觀察	【交安】路標關鍵字母
20	13	Topic 2 Story (1)	1-Ⅱ-9, 1-Ⅱ-10, 2-Ⅱ-5	Ac-Ⅱ-2, B-Ⅱ-1	理解身材特徵單字語意；培養包容個別差異。	1.描述圖片人物特徵。 2.Story Time 電子書導讀。 3.內容與角色連線。	觀察、口語、活動	【人權】欣賞包容差異
21	14	L3: I'm Tall. (1)	1-Ⅱ-7, 1-Ⅱ-10, 2-Ⅱ-6	B-Ⅱ-1, Ac-Ⅱ-2	能正確描述外型特徵；學會使用人稱代代名詞。	1.形容詞肢體動作遊戲。 2.He's/She's tall. 句型對話問答。	觀察、口語、活動	【性平】打破外貌刻板
22	15	L3: I'm Tall. (2)	4-Ⅱ-3, 4-Ⅱ-4, 5-Ⅱ-3	Aa-Ⅱ-2, B-Ⅱ-1	掌握英文句子字距書寫規則；提升臨摹品質。	1.分析字距對閱讀之重要。 2.剪貼與重排句子。 3.完成習作 L3 測驗。	紙筆、活動、觀察	【數位】語句拆解動圖
23	16	L4: Are You Happy? (1)	1-Ⅱ-7, 1-Ⅱ-10, 2-Ⅱ-6	B-Ⅱ-1, Ac-Ⅱ-2	能辨識各種情緒單字；進行心情感受問答。	1.情緒單字猜謎。 2.Are you happy? 句型與肯定、否定簡答練習。	口語、活動、觀察	【性平】情緒表達平等
