"場次","日期","班級","題組","組別","學號","題號","次數","問句","答句","結果","提交時間"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:34.222Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","1","2","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:35.030Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","1","3","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:35.991Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","1","4","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:37.017Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","1","5","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:38.071Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","2","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","3","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","4","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","5","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","6","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","1","09101 09102 09103","7","0","","","未作答",""
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","2","09001 09002","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T10:12:32.321Z"
"C75197A656D295F1","2026-09-15T10:12:21.902Z","QA 多巴胺10組驗證","家人句型｜七題示範","2","09001 09002","1","2","Who's she?","She's my sister.","正確","2026-09-15T10:12:33.334Z"
