### TABLE 1 28x11
1	教材版本	何嘉仁 Super Fun	實施年級 (班級/組別)	四年級	教學節數	每週( 1 )節。
2	課程目標	語音與拼讀能力：能聽辨並唸讀印刷體大小寫字母，熟練相似子音（b/p, d/t, g/c, v/f, z/s）的辨識與字母拼讀規則，達到看字能讀、聽音能拼之初步應用。 生活溝通實務：能聽辨與唸讀關於家庭成員、職業、房間位置及動物等主題之單字與核心句型，並能在適當的生活情境中進行簡易的詢問與應答。 學習策略運用：透過數位工具（電子書）與非語言訊息（情境圖、肢體動作），建立觀察、分析與歸納的邏輯思考策略，並能透過音節計數強化字詞記憶。 文化理解與價值：認識萬聖節與國際寵物文化，理解各國節慶習俗與職業多樣性，培養跨文化尊重及對生命關懷的態度。 團隊合作素養：在小組讀劇、口說活動及遊戲中展現合宜的人際溝通態度，並能與同儕協力完成學習任務與成果發表。
3	領域核心素養	英-E-A1： 具備認真專注特質及良好學習習慣，嘗試運用學習策略強化英語能力。 英-E-A2： 具備理解簡易英語文訊息能力，能運用基本邏輯思考提升學習效能。 英-E-B1： 具備入門聽說讀寫能力，能運用所學字詞句型進行簡易日常溝通。 英-E-C2： 積極參與課內小組學習活動，培養團隊合作精神。
4	議題融入	閱讀素養教育、生涯規劃教育、品德教育、家庭教育、國際教育、環境教育、性別平等教育、交通安全教育
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
7	教學進度 (週次)	教學單元名稱	學習表現	學習內容	學習目標	學習活動	評量方式	融入議題 內容重點
8	1	Phonics Fun 1: b/p	1-Ⅱ-2 能聽辨子音、母音及其組合。	Ab-Ⅱ-1 子音、母音及其組合。	能聽辨並唸讀 b, p 發音及其拼讀字。	1. 發音辨識：引導學生辨別 [b] 與 [p] 的差異。 2. 拼讀練習：練習 bat, pat 等字母拼讀。 3. 韻文吟唱：運用電子書進行韻文帶讀。	觀察評量、口語評量、紙筆評量	【閱讀素養】認識學科基礎知識應具備的字詞彙。
9	2	Phonics Fun 2: d/t	2-Ⅱ-2 能唸出英語語音並掌握其組合。	Ab-Ⅱ-4 所學拼讀規則(看字讀音、聽音拼字)。	能聽辨並唸讀 d, t 發音及其拼讀字。	1. 發音導入：引導辨識 [d] 與 [t] 音。 2. 單字建構：拼讀 den, ten 等字例。 3. 聽力訓練：完成習作聽力練習。	觀察評量、活動評量、紙筆評量	【閱讀素養】培養喜愛閱讀的態度。
10	3	Topic 1: Who's He? (Story)	1-Ⅱ-9 能聽懂簡易的日常生活用語。	Ac-Ⅱ-2 簡易的生活用語。	能理解故事大意並辨識人物職業。	1. 情境觀察：透過 Theme Page 真實照片討論情境。 2. 故事教學：播放電子書並進行 Q&A 提問。 3. 家長介紹：以簡易句子介紹家人特色。	觀察評量、活動評量、口語評量	【生涯規劃】認識不同類型工作環境。
11	4	Topic 1: Who's He? (Story)	2-Ⅱ-6 能以正確發音及適切語調說出簡易句子。	B-Ⅱ-1 第二階段所學字詞與句型之溝通。	能靈活運用故事對話進行溝通練習。	1. 語調模擬：注意角色特色進行對話練習。 2. 對話賓果：透過遊戲強化句子認讀。 3. 職業模擬：抽卡表演職業動作並搶答。	觀察評量、活動評量、口語評量	【性別平等】討論不同性別在各種職業中的平等發展機會。
12	5	Topic 1 Lesson 1: Family	3-Ⅱ-2 能辨識課堂中所學的字詞。	D-Ⅱ-1 所學字詞的簡易歸類。	能運用 Who's he/she? 詢問家人身分。	1. 單字學習：透過閃示卡學習家人稱謂單字。 2. 句型引導：練習 He's/She's my... 介紹家人。 3. 先說先贏：利用電子書閃示卡進行搶答遊戲。	觀察評量、口語評量	【閱讀素養】發展詮釋文本的能力。
13	6	Topic 1 Lesson 1: Family	4-Ⅱ-4 能臨摹抄寫課堂中所學的句子。	Aa-Ⅱ-2 印刷體大小寫字母辨識及書寫。	能正確辨識音節數量並正確書寫句型。	1. 音節教學：透過拍手活動辨識單字音節數。 2. 分組尋親：依單字音節數進行團隊分組。 3. 習作書寫：完成單字與句型的讀寫練習。	活動評量、紙筆評量	【閱讀素養】善用複習強化學習效果。
14	7	Topic 1 Lesson 2: Jobs	1-Ⅱ-10 能聽懂簡易句型的句子。	B-Ⅱ-1 第二階段所學字詞與句型之溝通。	能運用 Is he/she a...? 詢問他人職業。	1. 職業單字：利用電子書學習各類職業名稱。 2. 消失單字：訓練記憶力與單字熟練度。 3. 畫畫猜猜：繪製職業圖示讓同學進行問答。	觀察評量、口語評量	【生涯規劃】認識多元職場並尊重各行各業專業。
15	8	Topic 1 Lesson 2: Jobs	5-Ⅱ-3 能以正確發音朗讀簡易句型的句子。	Ac-Ⅱ-2 簡易的生活用語。	能了解不同國家的職業文化特色。	1. 文化探索：透過 Practice 了解不同文化的職業發展。 2. 趣味知識：討論不同類型的醫生(Fun Facts)。 3. 未來藍圖：討論未來想從事的職業及其能力。	活動評量、紙筆評量	【國際教育】了解國際間職業的多樣性。
16	9	Review 1 & Halloween	8-Ⅱ-3 能了解國外主要節慶習俗。	C-Ⅱ-2 國內外主要節慶習俗。	能整合 Topic 1 所學並認識萬聖節文化。	1. 資訊整合：閱讀短文並利用文氏圖歸類資訊。 2. 節慶由來：透過電子書認識萬聖節習俗。 3. 歌謠傳唱：學習 Trick or Treat 等節慶歌曲。	活動評量、口語評量、紙筆評量	【國際教育】了解節慶背後的文化意義與習俗。
