"場次","日期","班級","題組","組別","學號","題號","次數","問句","答句","結果","提交時間"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:39.923Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","1","2","Who's she?","She's my sister.","正確","2026-09-15T03:07:41.781Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","2","1","Who's she?","She's my sister.","正確","2026-09-15T03:08:02.496Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","3","1","Who's he?","He's my father.","正確","2026-09-15T03:08:05.059Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","4","1","Who's she?","She's my mother.","正確","2026-09-15T03:08:07.986Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","5","1","Who's she?","She's my grandmother.","正確","2026-09-15T03:08:10.924Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","6","1","Who's he?","He's my brother.","正確","2026-09-15T03:08:14.220Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","1","09001 09002","7","1","Who's she?","She's my mother.","正確","2026-09-15T03:08:16.859Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:43.178Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","1","2","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:45.012Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","1","3","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:46.860Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","1","4","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:48.516Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","1","5","She's she?","Who's my sister.","錯誤","2026-09-15T03:07:49.920Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","2","09101 09102 09103","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:55.312Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","3","09401 09402","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:55.413Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","4","09301 09302 09303","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:51.821Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","5","09701 09702 09703","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:55.406Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","6","09501 09502 09503","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:55.020Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","2","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","7","09801 09802","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:55.578Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","2","1","Who's she?","She's my sister.","正確","2026-09-15T03:08:00.690Z"
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","3","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","4","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","5","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","6","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","8","09201 09202","7","0","","","未作答",""
"7B8A981F1C7E197B","2026-09-15T03:07:28.327Z","QA 10組即時驗證","家人句型｜七題示範","9","09901 09902 09903","1","1","Who's she?","She's my sister.","正確","2026-09-15T03:07:51.974Z"
