"場次","日期","班級","題組","組別","學號","題號","次數","問句","答句","結果","提交時間"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:31.072Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","1","2","Who's she?","She's my sister.","正確","2026-09-15T02:36:32.911Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","2","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:52.491Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","3","1","Who's he?","He's my father.","正確","2026-09-15T02:36:55.141Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","4","1","Who's she?","She's my mother.","正確","2026-09-15T02:36:57.804Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","5","1","Who's she?","She's my grandmother.","正確","2026-09-15T02:37:01.045Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","6","1","Who's he?","He's my brother.","正確","2026-09-15T02:37:04.407Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","1","09001 09002","7","1","Who's she?","She's my mother.","正確","2026-09-15T02:37:07.221Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:45.776Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","2","09401 09402","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:43.020Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","3","09501 09502 09503","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:45.708Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","4","09301 09302 09303","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:46.173Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","2","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:50.771Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","5","0","","","未作答",""
